Order,Order_Group,Species,Classification,Classification_Simple,AA_Dist,dN_Dist,dS_Dist,ML_Dist,P_Dist,Ztest_Dist,AA_Sim,dN_Sim,dS_Sim,ML_Sim,P_Sim,Ztest_Sim
Diptera,Diptera_Group_30,Simuliidae_sp,NA,NA,0.01348026853,0.0059017202,0.2353138553,0.0571018228,0.05502037935,4.36E-06,0.01574933355,0.006880927,0.02198431625,0.0104481223,0.01028277635,0.5940752867
Diptera,Diptera_Group_300,Sciaridae_sp,NA,NA,0.0497176324,0.0304483558,1.004757421,0.1803306225,0.1588811783,1.25E-10,0,0,0,0,0,1
Diptera,Diptera_Group_301,Sciaridae_sp,NA,NA,0.03323527165,0.0321466753,0.5977781216,0.1661117189,0.1468715291,1.87E-07,0,0,0.0109490996,0.0027056991,0.0027027027,0.3166892159
Diptera,Diptera_Group_302,Sciaridae_sp,NA,NA,0.0140847399,0.0200457367,0.5960542354,0.1348148962,0.1221122112,2.58E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_303,Sciaridae_sp,NA,NA,0,0.0061350035,0.537274103,0.1021619325,0.0951276102,5.00E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_304,Sciaridae_sp,NA,NA,0.134530893,0.0840545044,0.7122022563,0.1946865836,0.1678657074,1.23E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_305,Bactrocera_tryoni,P,NA,0,0.0215377327,0.7244860881,0.1561870783,0.1398176292,2.96E-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_306,Syritta_oceanica,P,NA,0.0469569831,0.0383635803,0.469291678,0.1258967421,0.114481409,6.43E-08,0,0,0.019109314,0.0045809179,0.00456621,0.0829128826
Diptera,Diptera_Group_307,Liriomyza_sativae,P,NA,0.034685558,0.0309430902,0.5366778164,0.1363439251,0.1224737553,1.01E-08,0,0,0,0,0,1
Diptera,Diptera_Group_308,Drosophila_mediostriata,NA,NA,0.01032598151,0.0196264144,0.5493086803,0.1295519209,0.1175277136,2.06E-08,0,0,0.01161136821,0.002756820243,0.002736969761,0.7519427746
Diptera,Diptera_Group_309,Lauxaniidae_sp,NA,NA,0.0050843771,0.004750384725,0.479330518,0.1020540789,0.0957826165,4.50E-10,0,0,0,0,0,1
Diptera,Diptera_Group_31,Simuliidae_sp,NA,NA,0,0,0.2524893931,0.05515401189,0.05342212799,7.87E-08,0,0,0.05533248676,0.01272925698,0.01257792846,0.2733738845
Diptera,Diptera_Group_310,Lauxaniidae_sp,NA,NA,0,0.00371453745,0.4294429887,0.09318560603,0.0874170521,1.00E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_311,Diptera_sp,NA,NA,0,0.0021281964,0.4832030181,0.09475295122,0.08865405527,1.90E-08,0,0,0.0207865499,0.0049971682,0.0049833887,0.0826600104
Diptera,Diptera_Group_312,Lauxaniidae_sp,NA,NA,0,0,0.4412474898,0.08671572705,0.08222361363,4.29E-09,0,0,0.1199774988,0.02714061709,0.02660342929,0.0143101954
