Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,ML_Similarity,dS_Distance,AA_Similarity,Ztest_Similarity,dN/dS_Similarity,predict,prob. introduced,prob. native,ML_Distance,dN_Distance,dN_Similarity,dS_Similarity,AA_Distance,Ztest_Distance,dN/dS_Distance
21,Coleoptera_Group_114,,,,,0,,1,,0.66331988,,,,native,0.4265724704310938,0.5734275295689065,0.22838819707466473,0.05235907592465039,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.04195472994934251
22,Coleoptera_Group_115,,,,,0,,1,,0.5506565,,,,native,0.42870018450047176,0.5712998154995276,0.19342860693446123,0.03732140801422716,0.014755502862061018,0.02300575183692591,0.051193901392492705,0.0,0.03602377487698532
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,100.0,1,1.0,6,0.03514773925,0.71289066,0.0,0.00918969,0.0,native,0.47578327114097285,0.5242167288590269,0.24955756549144548,0.06521257416373492,0.0,0.11792332206978895,0.012241667510788874,0.0,0.04862060839903737
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,100.0,1,1.0,45,0.001323741892,0.44645525,0.00098945,0.59108894,0.1069719024,native,0.26750426781744635,0.732495732182553,0.1277061258061828,0.0010368664112932427,0.00702649960337632,0.003030507193709731,0.0013601852790954216,0.0,0.001234402639911133
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,100.0,1,2.0,2,0.0,0.182,0.0,1.0,,native,0.20449436544307023,0.7955056345569297,0.04008290971237273,0.0002246648504861898,0.0,0.0,0.00038255210984589234,1.9941708851050772e-09,0.0006583681581305027
26,Coleoptera_Group_119,Dineutus nigrior,native,100.0,100.0,1,1.0,2,0.0076562339,0.5368579000000001,0.0,0.02483813,0.0,introduced,0.6455119241419157,0.3544880758580854,0.20347293799001864,0.0802534884989937,0.0,0.02413758416731468,0.06177641097890796,0.0,0.07945414186292848
27,Coleoptera_Group_12,Cryptarcha ampla,native,100.0,100.0,1,1.0,1,,0.78752821,,,,introduced,0.6641539278825477,0.33584607211745315,0.3459518707851751,0.17824144099367853,0.014755502862061018,0.02300575183692591,0.1483288663286772,8.666973462187451e-14,0.12029692749527807
28,Coleoptera_Group_120,Brachinus fulminatus,native,100.0,100.0,1,1.0,2,0.0472417738,0.54496475,0.00917438,4.5700000000000003e-07,0.038847843189999995,introduced,0.6405038331593409,0.3594961668406604,0.20482076136999655,0.07511909007243134,0.11469150830368659,0.1362104302525084,0.0633076599014652,0.0,0.07326454842539634
29,Coleoptera_Group_121,Notiophilus aeneus,native,100.0,100.0,1,1.0,16,0.004038004581,0.59695891,0.00115329,0.36365417,0.0342187786,native,0.4540452739393715,0.5459547260606284,0.20375234977076917,0.055430435449157635,0.008240616886797296,0.011110695173135282,0.032337579729426365,0.0,0.04935325736905834
30,Coleoptera_Group_122,Platynus decentis,native,100.0,100.0,1,1.0,8,0.004488408861,0.61877623,0.0,0.29931025,0.0,native,0.25129146601081914,0.748708533989181,0.19759280719251415,0.025111607632655734,0.0,0.014003234449360882,0.012270202977442586,0.0,0.02157013509334864
31,Coleoptera_Group_123,,,,,0,,1,,0.40584823,,,,introduced,0.5229674307631749,0.4770325692368254,0.14754578503784305,0.07914356992365792,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.10364872162582478
32,Coleoptera_Group_124,Dyschirius dejeanii,native,100.0,100.0,1,1.0,1,,0.40584823,,,,introduced,0.5229674307631749,0.4770325692368254,0.14754578503784305,0.07914356992365792,0.014755502862061018,0.02300575183692591,0.036894373791542215,2.65378125479368e-12,0.10364872162582478
