Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,dN/dS_Distance,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
36,Coleoptera_Group_127,Clivina americana,native,66.0,50.0,1,1.0,2,0.03205315093,,introduced,0.1751444274761756,0.0,0.05783050676409876,0.0,0.18325876392695914,0.0,0.0,0.0,6.18192974382574e-14,0.9999999999999999,0.06046640097439287
37,Coleoptera_Group_128,,,,,0,,1,0.01744633691,,introduced,0.18920978412523748,0.050379451310563414,0.03921736483821427,0.041723175312406005,0.23525627756972284,0.06532519391654026,0.025363925029965116,0.03820208068461324,0.0,0.5321156457992704,0.032911497700747576
38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,100.0,1,1.0,1,0.013488982319999999,,native,0.18243555487446383,0.050379451310563414,0.02885563006362031,0.041723175312406005,0.222518748496144,0.06532519391654026,0.024652706280753348,0.03820208068461324,0.0,0.5321156457992704,0.0254461789257115
39,Coleoptera_Group_13,Judolia cordifera,native,100.0,100.0,1,1.0,1,0.0526903881,,introduced,0.3447415615683001,0.050379451310563414,0.16480200667379186,0.041723175312406005,0.3383723897097634,0.06532519391654026,0.17670195084108678,0.03820208068461324,0.0,0.5321156457992704,0.09939734603031047
40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,100.0,1,2.0,17,0.012393247820000002,,introduced,0.17300197972675524,0.0,0.025528914301484535,0.0,0.21322568530297237,0.0,0.012651826482961781,0.0,0.0,0.9999999999999999,0.023379139657616815
41,Coleoptera_Group_131,Carabus serratus,native,100.0,100.0,1,1.0,18,0.012393247820000002,0.0,native,0.17300197972675524,0.02387957593879215,0.025528914301484535,0.0,0.21322568530297237,0.03051408377032108,0.012651826482961781,0.0,0.0,0.5378797922083719,0.023379139657616815
42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,50.0,1,1.0,1,0.05410494032,,introduced,0.24591991241819183,0.050379451310563414,0.1159460823453571,0.041723175312406005,0.22296235937044667,0.06532519391654026,0.06888276879857921,0.03820208068461324,0.0,0.5321156457992704,0.10206581634452486
43,Coleoptera_Group_133,,,,,0,,2,0.04283876566000001,0.0,introduced,0.18844146048306248,0.02185009795948464,0.07449369411283277,0.0,0.17560880256846986,0.02827157435390777,0.06177641097890796,0.0,0.0,0.3177992037352693,0.08081283451048261
44,Coleoptera_Group_134,Trechus apicalis,native,66.0,100.0,1,1.0,2,0.03689628442,0.0,introduced,0.18961296661196647,0.02185009795948464,0.06954141089515457,0.0,0.19270177024943214,0.02863406193262207,0.036894373791542215,0.0,0.0,0.3177796937345182,0.06960269001562912
45,Coleoptera_Group_135,,,,,0,,3,0.04732868557,,introduced,0.18844146048306248,0.0,0.08230135886795706,0.0,0.17560880256846986,0.0,0.05257564032631808,0.0,4.739990796134376e-14,0.9999999999999999,0.08928280672051175
46,Coleoptera_Group_136,Tachys scitulus,native,100.0,100.0,1,1.0,1,0.018140968700000003,,introduced,0.19342860693446123,0.050379451310563414,0.03732140801422716,0.041723175312406005,0.21292033340766572,0.06532519391654026,0.04965208572722334,0.03820208068461324,0.0,0.5321156457992704,0.034221880085163615
