Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
468,Ephemeroptera_Group_27,Eurylophella poconoensis,native,100.0,3.0,native,0.1985323803847048,0.801467619615295,0.12576690556565479,0.0,0.0,0.0,0.15844355870534108,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,
469,Ephemeroptera_Group_28,Eurylophella temporalis,native,100.0,2.0,native,0.16802007510192019,0.8319799248980803,0.12576690556565479,0.07420723961675926,0.0,0.0,0.15844355870534108,0.03431798265682251,0.0,0.0,0.0,0.007778991799491184,0.0,0.0
470,Ephemeroptera_Group_29,Dentatella coxalis,native,100.0,1.0,native,0.3975458019600494,0.6024541980399506,0.20243151876236767,,0.02208583251758195,,0.2668366682112567,,0.024653762559154198,,0.0,,0.016550586266667465,
471,Ephemeroptera_Group_3,Baetisca laurentina,native,100.0,4.0,introduced,0.6356032855293456,0.3643967144706544,0.3923594427003096,0.026431406459928152,0.13123454742603036,0.01691574270620287,0.5819746154950576,0.009853604592397083,0.10720738955143531,0.029714704546611393,0.0,0.29930179302311904,0.047551062519817625,0.1220676961170703
472,Ephemeroptera_Group_30,Eurylophella lutulenta,native,100.0,2.0,native,0.24332431817842656,0.7566756818215733,0.20243151876236767,0.0,0.02208583251758195,0.0,0.2668366682112567,0.0,0.0,0.0,0.0,0.9999999999999999,0.016550586266667465,
473,Ephemeroptera_Group_31,Siphlonurus alternatus,native,66.0,1.0,native,0.32731353491154985,0.6726864650884502,0.22478171753901044,,0.041659713251094375,,0.2783463049793918,,0.012767567903869414,,0.0,,0.030046584325544592,
474,Ephemeroptera_Group_32,Siphlonurus rapidus,native,100.0,2.0,native,0.36713666557889707,0.6328633344211029,0.22478171753901044,0.14984540794307763,0.041659713251094375,0.0,0.2783463049793918,0.07016995061418287,0.012767567903869414,0.0,0.0,0.00014804150569959796,0.030046584325544592,0.0
475,,Siphlonurus sp.JMW1,,,,introduced,0.664337879925706,0.33566212007429375,,,,,,,,,,,,
476,Ephemeroptera_Group_33,Ameletus lineatus,native,100.0,1.0,native,0.1961486838558338,0.803851316144166,0.2966534699787826,,0.030227786077018426,,0.472654431679456,,0.012767567903869414,,0.0,,0.013343290087143118,
477,Ephemeroptera_Group_34,Ameletus browni,native,100.0,2.0,native,0.2156892646699158,0.7843107353300844,0.2966534699787826,0.01054103105961316,0.030227786077018426,0.0,0.4654485969783373,0.004734564470543962,0.012767567903869414,0.0,0.0,0.3177895137348963,0.013538068227495474,0.0
478,Ephemeroptera_Group_4,Drunella walkeri,native,100.0,1.0,native,0.26460570265039546,0.7353942973496047,0.32858677894090993,,0.05297501345855143,,0.5359248792575755,,0.0,,0.0,,0.02076169114013119,
479,Ephemeroptera_Group_5,Drunella cornutella,native,100.0,4.0,native,0.21713935291287476,0.7828606470871253,0.27366625015978735,0.010110193122624187,0.02911227008163439,0.0,0.40275068940334374,0.004547923856347037,0.0,0.0,0.0,0.404794597084592,0.014935451057001769,0.0
480,Ephemeroptera_Group_6,Drunella cornuta,native,100.0,2.0,native,0.1936744374248349,0.8063255625751654,0.27366625015978735,0.020267829511064962,0.02911227008163439,0.0,0.40275068940334374,0.009028391279788063,0.012269814428014012,0.0,0.0,0.15738545755934008,0.014935451057001769,0.0
481,Ephemeroptera_Group_7,Ephemerella subvaria,native,100.0,1.0,native,0.14510547560138456,0.8548945243986154,0.2056344918992569,,0.0,,0.2865323562843585,,0.0,,0.0,,0.0,
