Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,predict probability,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1172,Lepidoptera_Group_432,Cycnia tenera,,33.0,2.0,native,0.34651395537384966,0.6534860446261503,0.09655190003563033,0.0,0.007072470788551746,0.0,0.1409146836197684,0.0,0.0,0.0,0.0,0.9999999999999999,0.009246535196414838,0.04521040754143754
1173,Lepidoptera_Group_433,Maliattha synochitis,native,33.0,2.0,native,0.3729793417340248,0.6270206582659755,0.09584923806713691,0.0,0.03548079100532941,0.0,0.11614246725304739,0.0,0.012241675535187967,0.0,0.0,0.9999999999999999,0.0543492820808102,0.04521040754143754
1174,Lepidoptera_Group_434,Mompha cephalonthiella,,33.0,3.0,native,0.4549104788830135,0.5450895211169865,0.13186979465890694,0.00579909322979952,0.033440635407280886,0.0,0.15267106851188503,0.0032821958789105697,0.01235687915819346,0.0,0.0,0.5451523124883639,0.04087827216654767,0.0
1175,Lepidoptera_Group_435,Euparthenos nubilis,native,33.0,1.0,native,0.277962534590565,0.7220374654094357,0.08547761402065857,0.028340365028422902,0.02130954979880881,0.007561946084215351,0.12039112628674303,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.03170844736048962,0.04521040754143754
1176,Lepidoptera_Group_436,Callopistria mollissima,native,33.0,1.0,native,0.3012767067386799,0.6987232932613209,0.08631225538806031,0.028340365028422902,0.03182656219945142,0.007561946084215351,0.11557086314661721,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.04894559823905375,0.04521040754143754
1177,Lepidoptera_Group_437,Zale horrida,native,33.0,1.0,native,0.27835386448001254,0.721646135519988,0.051045228011090134,0.028340365028422902,0.021182381685176582,0.007561946084215351,0.07224595478307039,0.014237480097405995,0.0,0.01128077503953735,1.74873446847676e-10,0.5113155357508368,0.0466286962194504,0.04521040754143754
1178,Lepidoptera_Group_438,Zale unilineata,native,33.0,2.0,native,0.17574093737605231,0.824259062623948,0.02565445926087137,0.017167096907415694,0.0,0.0,0.04837646277377925,0.009823886595839703,0.0,0.0,1.2501917472004907e-09,0.15716613755089626,0.0,0.0
1179,Lepidoptera_Group_439,Zale undularis,native,33.0,2.0,native,0.283667360947048,0.7163326390529522,0.02565445926087137,0.0,0.0,0.0,0.04837646277377925,0.0,0.0,0.0,5.077465868998312e-10,0.9999999999999999,0.0,0.04521040754143754
1180,Lepidoptera_Group_44,Grapholita eclipsana,,33.0,2.0,native,0.24025074053269938,0.7597492594673008,0.0978067864168212,0.04302566740399473,0.02847962380044698,0.0,0.1384203816604196,0.02440176065497085,0.0,0.0,0.0,0.02481325245531022,0.037791643730970326,0.0
1181,Lepidoptera_Group_440,Zale intenta,,33.0,5.0,native,0.1993018091135714,0.800698190886429,0.03654448565156427,0.02759247256518505,0.0,0.0,0.065055181779444,0.016168039604286488,0.0,0.0,4.494554379506059e-10,0.3980742568258589,0.0,0.0
1182,,Zale lunifera,native,33.0,,native,0.4891410051817906,0.5108589948182096,0.14710288175567554,0.028340365028422902,0.06336393360810602,0.007561946084215351,0.15949206202356273,0.014237480097405995,0.05725670609072938,0.01128077503953735,0.0011215892932626135,0.5113155357508368,0.06900183799759897,0.04521040754143754
1183,Lepidoptera_Group_441,Zale obliqua,native,33.0,2.0,native,0.28670840547068005,0.7132915945293201,0.030189120451117345,0.0,0.0,0.0,0.055085352967553104,0.0,0.0,0.0,6.734161681239453e-10,0.9999999999999999,0.0,0.04521040754143754
1184,Lepidoptera_Group_442,Zale submediana,native,33.0,1.0,native,0.24310880872657298,0.7568911912734273,0.004892878211703651,0.028340365028422902,0.0,0.007561946084215351,0.020223779222485222,0.014237480097405995,0.0,0.01128077503953735,2.3469857340082834e-07,0.5113155357508368,0.0,0.04521040754143754
1185,Lepidoptera_Group_443,Zale curema,native,33.0,5.0,native,0.1681796363585019,0.8318203636414984,0.004892878211703651,0.0727774389289049,0.0,0.0,0.020223779222485222,0.04309415749309167,0.0,0.0,1.2885411872986653e-07,0.20184744927112677,0.0,0.0
1186,,Zale helata,native,33.0,,native,0.4891410051817906,0.5108589948182096,0.14710288175567554,0.028340365028422902,0.06336393360810602,0.007561946084215351,0.15949206202356273,0.014237480097405995,0.05725670609072938,0.01128077503953735,0.0011215892932626135,0.5113155357508368,0.06900183799759897,0.04521040754143754
1187,Lepidoptera_Group_444,Eudryas unio,native,33.0,1.0,native,0.2886331431125502,0.7113668568874506,0.06460877176329824,0.028340365028422902,0.02471870580964617,0.007561946084215351,0.0948494905284114,0.014237480097405995,0.004080567427728317,0.01128077503953735,0.0,0.5113155357508368,0.04441677298342475,0.04521040754143754
1188,Lepidoptera_Group_445,Psychomorpha epimenis,native,33.0,3.0,native,0.2941268124223324,0.705873187577668,0.06460877176329824,0.011447429676472758,0.02471870580964617,0.02124098370980047,0.09197332191944227,0.0033036704392042857,0.004080567427728317,0.0379876446339672,0.0,0.6671567671855354,0.04547993157851003,0.4571752555866539
1189,Lepidoptera_Group_446,Phoberia atomaris,native,33.0,4.0,native,0.1915677499328395,0.8084322500671607,0.04780040207660704,0.011442054984820807,0.01411686734381209,0.0,0.07393544797708196,0.006549257730559802,0.012241675535187967,0.0,0.0,0.43811075836726415,0.030561304191659963,0.0
1190,Lepidoptera_Group_447,Cissusa spadix,native,33.0,1.0,native,0.22026226822646752,0.7797377317735326,0.04780040207660704,0.028340365028422902,0.01411686734381209,0.007561946084215351,0.07393544797708196,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.030561304191659963,0.04521040754143754
1191,Lepidoptera_Group_448,Drasteria graphica,native,33.0,7.0,native,0.2713115296420715,0.7286884703579293,0.09009000694523922,0.024612637346595682,0.03553662004321484,0.0,0.10802948244301264,0.014331098729539221,0.012241675535187967,0.0,4.924068108605614e-10,0.4153123674895261,0.05767689535249578,0.0
1192,,Drasteria occulta,native,33.0,,native,0.4891410051817906,0.5108589948182096,0.14710288175567554,0.028340365028422902,0.06336393360810602,0.007561946084215351,0.15949206202356273,0.014237480097405995,0.05725670609072938,0.01128077503953735,0.0011215892932626135,0.5113155357508368,0.06900183799759897,0.04521040754143754
1193,Lepidoptera_Group_449,Amolita roseola,native,66.0,2.0,native,0.20316841225488336,0.7968315877451169,0.07953342572785549,0.11268877111457568,0.021281191628897526,0.0,0.11052298161097346,0.06626407076800188,0.012241675535187967,0.0,0.0,0.0002571215098991781,0.03391905004958674,0.0
1194,Lepidoptera_Group_45,Epiblema otiosana,,33.0,1.0,native,0.34664188184873523,0.6533581181512648,0.09893173238155065,0.028340365028422902,0.042776790897887794,0.007561946084215351,0.13456335587830828,0.014237480097405995,0.03689436817446285,0.01128077503953735,0.0,0.5113155357508368,0.058108810972582706,0.04521040754143754
1195,Lepidoptera_Group_450,Panopoda rufimargo,native,33.0,1.0,native,0.26212101992812015,0.7378789800718804,0.0786129324679534,0.028340365028422902,0.014135607160724682,0.007561946084215351,0.12204864093054188,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.02080161683010586,0.04521040754143754
1196,Lepidoptera_Group_451,Spargaloma sexpunctata,native,33.0,2.0,native,0.3598274596153086,0.6401725403846915,0.0593672275531776,0.0,0.03187948088698301,0.0,0.0786832685534064,0.0,0.0,0.0,1.9021322288694585e-10,0.9999999999999999,0.06594915303982118,0.04521040754143754
1197,Lepidoptera_Group_452,Catocala ultronia,,33.0,1.0,native,0.24310880872657298,0.7568911912734273,0.02666717176196754,0.028340365028422902,0.0,0.007561946084215351,0.04359685082658126,0.014237480097405995,0.0,0.01128077503953735,8.084061972695198e-09,0.5113155357508368,0.0,0.04521040754143754
