Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,100.0,1,1.0,1,native,0.03320442975534458,0.9667955702446553,0.09175017006276183,,0.0,,0.11004601121888902,,0.0,,5.246203405430281e-14,,0.0,
58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,100.0,1,1.0,12,introduced,0.647075670055554,0.3529243299444454,0.16554335081474608,0.041337951241858996,0.07421690960795543,0.009810216477192497,0.13870652895552693,0.01798116445577966,0.0528409589509992,0.01726713383441111,8.007363092498849e-13,0.10243395544370729,0.09831485519940616,0.03879409148375971
59,Coleoptera_Group_148,Dicaelus politus,native,100.0,100.0,2,1.0,10,introduced,0.6859189149232351,0.3140810850767639,0.15702999956662678,0.0089219805181362,0.0471730564364014,0.0,0.16470479911062694,0.004111437994454585,0.032337579729426365,0.0,2.8071790151863783e-14,0.5516946027402422,0.054067494170686174,0.0
60,Coleoptera_Group_148,Poecilus lucublandus,native,100.0,100.0,2,3.0,10,introduced,0.6859189149232351,0.3140810850767639,0.15702999956662678,0.0089219805181362,0.0471730564364014,0.0,0.16470479911062694,0.004111437994454585,0.032337579729426365,0.0,2.8071790151863783e-14,0.5516946027402422,0.054067494170686174,0.0
61,Coleoptera_Group_149,Cymindis limbata,native,66.0,50.0,1,1.0,7,native,0.007616469910982275,0.9923835300890178,0.07117899534720301,0.03382176243172814,0.0010530744455783908,0.009274478383543531,0.08640329737785996,0.014406642501178207,0.0017488096443219875,0.016280436915177818,1.3330265378125477e-11,0.201163169244782,0.0020317313271065443,0.04577533400145493
62,Coleoptera_Group_15,,,,,0,,1,introduced,0.6786039136210181,0.3213960863789814,0.36265059061362304,,0.2527318430388641,,0.23077768327624443,,0.26963237873922624,,6.826200337475073e-12,,0.21576240033751803,
63,Coleoptera_Group_150,Cymindis platicollis,native,100.0,100.0,1,1.0,3,native,0.03497127823475244,0.9650287217652472,0.07117899534720301,0.11879682617158988,0.0010530744455783908,0.0,0.08640329737785996,0.05675256506393907,0.0,0.0,3.5741678171498692e-12,0.0027684316065846163,0.0020317313271065443,0.0
64,Coleoptera_Group_151,Myas cyanescens,native,100.0,100.0,1,1.0,15,introduced,0.6848537806573177,0.3151462193426818,0.18120198748562,0.006979796076236219,0.048956419400502646,0.0,0.18899614343592694,0.0029178568090606257,0.05157642682442136,0.0,0.0,0.6403333761528349,0.04983559823641083,0.0
65,Coleoptera_Group_152,,,,,0,,1,introduced,0.6633200841204387,0.33667991587956064,0.1720882574982998,,0.05410563949608356,,0.1720044231392946,,0.0384671868545792,,0.0,,0.05975209097203533,
66,Coleoptera_Group_153,Synuchus impunctatus,native,100.0,100.0,1,3.0,191,introduced,0.6274040756370372,0.37259592436296257,0.19401187700120986,0.0249434529487549,0.0482020098457188,0.00840351271469127,0.18713691601715193,0.010342464892444442,0.042181748600551495,0.014118045483853668,9.035128087129927e-14,0.353317065102707,0.04949131700203856,0.0577752208213287
