,Group,Species,N,Status,Regions,Group2,predict,MLdistance,MLsimilarity,AAdistance,AAsimilarity,ZtestDistance,ZtestSimilarity,Nsdistance,Nssimilarity,PatristicDistance,PatristicSimilarity
165,Group_86,Sphecodes autumnalis,1,native,nearctic,group_86,native,0.12573921,,0.06669137,,0.0,,0.04200086,,0.055999999999999994,
166,Group_87,Glyptapanteles carlossarmientoi,2,,,group_87,introduced,0.10925278,0.0,0.11095707,0.0,0.0,1.0,0.05209488,0.0,0.10800000000000001,0.0
167,Group_88,Anthidiellum notatum,1,native,nearctic,group_88,introduced,0.16198994,,0.15338645,,0.0,,0.09843314,,0.145,
168,Group_89,Nomada imbricata,1,native,nearctic,group_89,native,0.07852799,,0.01438874,,0.0,,0.00814672,,0.083,
169,Group_9,Urocerus albicornis,1,native,nearctic,group_9,native,0.08852841,,0.01474228,,0.0,,0.00847168,,0.08800000000000001,
170,Group_90,,2,,,group_90,native,0.06745689,0.00481304,0.01379332,0.0,0.0,0.08239354,0.00781257,0.0,0.0735,0.006999999999999999
171,Group_91,,1,,,group_91,native,0.04652617,,0.00457667,,0.0,,0.00194805,,0.06,
172,Group_92,Nomada denticulata,1,native,nearctic,group_92,native,0.05072998,,0.00917438,,0.0,,0.00584608,,0.063,
173,Group_93,,2,,,group_93,native,0.02570418,0.01774136,0.00477328,0.01591546,0.0,0.01957468,0.00202429,0.00673153,0.0245,0.027000000000000003
174,Group_94,,3,,,group_94,native,0.03581043,0.0,0.00917438,0.0,0.0,1.0,0.00389358,0.0,0.04166667,0.00866667
175,Group_95,,1,,,group_95,native,0.03494933,,0.01007578,,0.0,,0.00428141,,0.0395,
176,Group_96,,1,,,group_96,introduced,0.16760704,,0.08080403,,0.0,,0.05176217,,0.153,
177,Group_97,,3,,,group_97,introduced,0.15606399,0.0,0.09763847,0.0,0.0,1.0,0.06598810000000001,0.0,0.152,0.0
178,Group_98,Vespula vidua,1,native,nearctic,group_98,introduced,0.1350418,,0.04772884,,0.0,,0.04198162,,0.1355,
179,Group_99,,1,,,group_99,introduced,0.14762376,,0.02777956,,0.0,,0.01604876,,0.155,
