Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1355,Lepidoptera_Group_586,Tebenna gnaphaliella,,33.0,,1,1.0,2,introduced,0.647795365898887,0.35220463410111297,0.14160489846573904,0.009599132936163527,0.07173559323647284,0.0,0.18981641321467999,0.0054125778117108045,0.05501394279464732,0.0,0.0,0.3175702137264532,0.07274908733860277,0.0
1356,Lepidoptera_Group_587,,,,,0,,1,native,0.47430925311050615,0.5256907468894939,0.016578071985059048,,0.04818060166343666,,0.011966870138788777,,0.08403204228152178,,5.445620493940788e-06,,0.2652745364310057,
1357,Lepidoptera_Group_588,Virbia opella,,33.0,,1,1.0,2,native,0.12155246719857647,0.8784475328014235,0.10093340502681787,0.03417899129910411,0.017316052224242446,0.0,0.14434261116567434,0.019506051500242923,0.014944105914364632,0.0,2.178248197576315e-11,0.08184143465089523,0.022189170696508134,0.0
1358,Lepidoptera_Group_589,Coryphista meadii,native,33.0,50.0,1,1.0,1,native,0.12327801815450447,0.876721981845496,0.10250961000150223,,0.016598047496701275,,0.12142267578447452,,0.0,,1.1090658076392083e-08,,0.024527479038001624,
1359,Lepidoptera_Group_59,Cydia lacustrina,,33.0,,1,1.0,2,native,0.33054059224674914,0.6694594077532502,0.06519818077693494,0.05500539061666425,0.027291065109596814,0.1366345018608731,0.08755869304547101,0.010445102735482045,0.023169810434538064,0.24413396769562776,6.534744592728945e-11,0.6068859548651092,0.052127958705724474,0.930148884864758
1360,Lepidoptera_Group_590,,,,,0,,1,native,0.09166008182155815,0.9083399181784417,0.07725829691916368,,0.019811145271506136,,0.11270134148395922,,0.014656484702807154,,1.7180549163982206e-08,,0.031087801339767844,
1361,Lepidoptera_Group_591,Anania mysippusalis,native,33.0,,1,1.0,1,introduced,0.6271128101735567,0.3728871898264433,0.1332646017390624,,0.0539593862276248,,0.18469666313187494,,0.029393694860508798,,1.4173953060285318e-09,,0.056037762412184736,
1362,Lepidoptera_Group_592,Papaipema cerina,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.0,,0.0,,0.013585967263107249,,0.0,,5.629697806412027e-07,,0.0,
1363,Lepidoptera_Group_593,Grapholita packardi,,33.0,,1,1.0,1,native,0.12327801815450447,0.876721981845496,0.08901653634438814,,0.017208333769072527,,0.1195618843783322,,0.0,,1.4097254180088968e-09,,0.02574958179817921,
1364,Lepidoptera_Group_594,Sphecodina abbottii,native,33.0,50.0,1,1.0,1,native,0.21221296152776573,0.7877870384722345,0.08424093539500212,,0.02581260712984125,,0.12292026440088266,,0.0,,6.795520785396532e-11,,0.037766099895333624,
1365,Lepidoptera_Group_595,Synanthedon fulvipes,,33.0,,1,1.0,1,native,0.45577185871886283,0.5442281412811371,0.1000046127506408,,0.026054734082450536,,0.1488147248944765,,0.029886339468940454,,8.92774965485504e-11,,0.032543556506891703,
1366,Lepidoptera_Group_596,Caloreas leucobasis,,33.0,,1,1.0,1,introduced,0.6432780128071754,0.3567219871928243,0.12970203437327338,,0.10352581154857865,,0.13283178892839115,,0.09757281453417682,,1.3805798435342842e-08,,0.14214376199200737,
1367,Lepidoptera_Group_597,Apotomis albeolana,,33.0,,1,1.0,1,native,0.17551917328070757,0.8244808267192926,0.06734141961577307,,0.026086676952187908,,0.08965272238684738,,0.0,,1.4419389476913637e-09,,0.04894205072881762,
1368,Lepidoptera_Group_598,Epiblema obfuscana,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.0766993653273646,,0.00891763291289235,,0.10899566059642266,,0.0,,2.4236846142046327e-10,,0.01437162248374715,
1369,Lepidoptera_Group_599,Isa textula,,33.0,,1,1.0,1,native,0.49070926681987126,0.5092907331801287,0.11274337021727378,,0.06893537479906227,,0.1066231167174364,,0.04762379220422674,,1.0292989722350053e-08,,0.11305116795502576,
1370,Lepidoptera_Group_6,Antispila argentifera,native,33.0,,1,1.0,2,introduced,0.6363341954614278,0.3636658045385727,0.19062071293879768,0.051783097085775824,0.13999140122791126,0.09593283366982587,0.20745216770292133,0.014950382233087284,0.11869054538818126,0.17173282460566563,9.081147415247739e-13,0.24247165083515854,0.1313439642406682,0.4562677620075929
1371,Lepidoptera_Group_60,Cydia latiferreana,,33.0,,1,1.0,2,native,0.06404604551572594,0.9359539544842739,0.06519818077693494,0.01717121086892706,0.01771083060211889,0.0,0.08755869304547101,0.009823886595839703,0.0,0.0,2.5003834944009813e-10,0.15716613755089626,0.0338290001695796,0.0
1372,Lepidoptera_Group_600,Tortricidia flexuosa,,33.0,,2,1.0,3,native,0.06599475092802788,0.9340052490719719,0.08467153629332415,0.03180105519131513,0.018734315640581804,0.0,0.12769659862987467,0.01880048322830114,0.016240367344151525,0.0,3.0986347599325047e-09,0.3624951554560634,0.026570092922887346,0.0
1373,Lepidoptera_Group_600,Tortricidia pallida,,33.0,,2,1.0,3,native,0.06599475092802788,0.9340052490719719,0.08467153629332415,0.03180105519131513,0.018734315640581804,0.0,0.12769659862987467,0.01880048322830114,0.016240367344151525,0.0,3.0986347599325047e-09,0.3624951554560634,0.026570092922887346,0.0
1374,Lepidoptera_Group_601,Lithacodes fasciola,,33.0,,1,1.0,1,native,0.21212857581653227,0.787871424183468,0.07995540566530555,,0.027764600407414623,,0.11659992523890811,,0.015969008914759674,,6.810860561435804e-08,,0.04239529043382054,
